timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W]
2020/06/07 18:29:30.819, 0, 0, 11178, 2, 11176, 10.09
2020/06/07 18:29:30.823, 0, 0, 11176, 18, 11158, 11.07
2020/06/07 18:29:35.827, 0, 0, 11178, 2, 11176, 10.00
2020/06/07 18:29:35.830, 0, 0, 11176, 18, 11158, 10.49
2020/06/07 18:29:40.834, 0, 0, 11178, 2, 11176, 10.58
2020/06/07 18:29:40.837, 0, 0, 11176, 18, 11158, 10.10
2020/06/07 18:29:45.841, 0, 0, 11178, 12, 11166, 10.68
2020/06/07 18:29:45.844, 0, 0, 11176, 29, 11147, 10.10
2020/06/07 18:29:50.848, 96, 41, 11178, 5749, 5429, 247.56
2020/06/07 18:29:50.852, 99, 38, 11176, 4570, 6606, 253.45
2020/06/07 18:29:55.861, 97, 31, 11178, 5921, 5257, 279.20
2020/06/07 18:29:55.871, 78, 18, 11176, 4570, 6606, 265.23
2020/06/07 18:30:00.897, 97, 37, 11178, 5921, 5257, 118.62
2020/06/07 18:30:00.902, 77, 13, 11176, 4570, 6606, 126.25
2020/06/07 18:30:05.905, 99, 43, 11178, 5921, 5257, 100.93
2020/06/07 18:30:05.911, 100, 46, 11176, 4570, 6606, 96.93
2020/06/07 18:30:10.914, 95, 36, 11178, 5921, 5257, 241.59
2020/06/07 18:30:10.916, 80, 26, 11176, 4570, 6606, 244.39
2020/06/07 18:30:15.920, 96, 42, 11178, 5945, 5233, 243.75
2020/06/07 18:30:15.922, 98, 34, 11176, 4594, 6582, 250.73
2020/06/07 18:30:20.925, 96, 30, 11178, 5945, 5233, 275.25
2020/06/07 18:30:20.929, 77, 13, 11176, 4594, 6582, 277.97
2020/06/07 18:30:25.937, 97, 35, 11178, 5945, 5233, 114.29
2020/06/07 18:30:25.939, 77, 20, 11176, 4594, 6582, 83.78
2020/06/07 18:30:30.945, 99, 40, 11178, 5945, 5233, 249.10
2020/06/07 18:30:30.947, 100, 38, 11176, 4594, 6582, 262.04
2020/06/07 18:30:35.958, 97, 31, 11178, 5945, 5233, 251.41
2020/06/07 18:30:35.964, 78, 16, 11176, 4594, 6582, 247.86
2020/06/07 18:30:40.973, 99, 39, 11178, 5945, 5233, 248.33
2020/06/07 18:30:40.982, 100, 38, 11176, 4594, 6582, 245.60
2020/06/07 18:30:45.988, 97, 31, 11178, 5945, 5233, 276.28
2020/06/07 18:30:45.995, 78, 14, 11176, 4594, 6582, 272.42
2020/06/07 18:30:51.002, 98, 34, 11178, 5945, 5233, 118.16
2020/06/07 18:30:51.014, 78, 21, 11176, 4594, 6582, 86.59
2020/06/07 18:30:56.017, 99, 44, 11178, 5945, 5233, 258.35
2020/06/07 18:30:56.019, 94, 32, 11176, 4594, 6582, 249.96
2020/06/07 18:31:01.027, 96, 36, 11178, 5945, 5233, 236.96
2020/06/07 18:31:01.031, 77, 10, 11176, 4594, 6582, 245.41
2020/06/07 18:31:06.043, 96, 24, 11178, 5945, 5233, 184.26
2020/06/07 18:31:06.045, 97, 17, 11176, 4594, 6582, 216.24
2020/06/07 18:31:11.050, 0, 0, 11178, 2, 11176, 64.58
2020/06/07 18:31:11.055, 0, 0, 11176, 18, 11158, 63.10
2020/06/07 18:31:16.060, 0, 0, 11178, 2, 11176, 16.69
2020/06/07 18:31:16.064, 0, 0, 11176, 18, 11158, 17.19
